UNKNOWN
version=1
nRows=66
nColumns=12
inDegrees=no
endheader
time	time	biceps_femoris_l	cranial_tibial_l	gastrocnemius_l	gluteus_medius_l	iliopsoas_l	rectus_femoris_l	semitendinosus_l	vastus_intermedius_l	vastus_lateralis_l	vastus_medius_l
      0.00000000	      0.00000000	      0.20810890	      0.17988072	      0.17785289	      0.10559422	      0.11521394	      0.20013302	      0.18549221	      0.17410620	      0.18028275	      0.17526666
      1.00000000	      0.04200000	      0.20727857	      0.18059907	      0.17622577	      0.10534521	      0.11553742	      0.20096367	      0.18446458	      0.17397313	      0.18015011	      0.17514815
      2.00000000	      0.08300000	      0.20684497	      0.18168551	      0.17367707	      0.10515676	      0.11576349	      0.20133949	      0.18399561	      0.17365804	      0.17983708	      0.17487239
      3.00000000	      0.12500000	      0.20623448	      0.18222751	      0.17245404	      0.10487251	      0.11607907	      0.20184423	      0.18333401	      0.17321693	      0.17939701	      0.17439771
      4.00000000	      0.16700000	      0.20546849	      0.18264489	      0.17141478	      0.10451583	      0.11643972	      0.20246817	      0.18246909	      0.17279790	      0.17897927	      0.17395428
      5.00000000	      0.20800000	      0.20451160	      0.18286877	      0.17097482	      0.10399520	      0.11691236	      0.20316961	      0.18141579	      0.17215753	      0.17834233	      0.17327111
      6.00000000	      0.25000000	      0.20293638	      0.18299286	      0.17080879	      0.10316850	      0.11757235	      0.20432838	      0.17957526	      0.17155934	      0.17774556	      0.17263174
      7.00000000	      0.29200000	      0.20140098	      0.18307689	      0.17086028	      0.10220019	      0.11825638	      0.20527955	      0.17783089	      0.17074766	      0.17693441	      0.17181516
      8.00000000	      0.33300000	      0.19980918	      0.18323257	      0.17064263	      0.10108320	      0.11897428	      0.20611498	      0.17603068	      0.16980947	      0.17599544	      0.17082780
      9.00000000	      0.37500000	      0.19840989	      0.18341066	      0.17030592	      0.09993487	      0.11966381	      0.20663891	      0.17447721	      0.16867910	      0.17486248	      0.16963928
     10.00000000	      0.41700000	      0.19708032	      0.18362911	      0.16949429	      0.09882081	      0.12030241	      0.20705327	      0.17296455	      0.16763342	      0.17381384	      0.16853908
     11.00000000	      0.45800000	      0.19628214	      0.18380608	      0.16838888	      0.09796002	      0.12078124	      0.20707866	      0.17207096	      0.16656878	      0.17274089	      0.16742097
     12.00000000	      0.50000000	      0.19604001	      0.18386978	      0.16705500	      0.09776712	      0.12088711	      0.20714808	      0.17178300	      0.16641545	      0.17258595	      0.16725920
     13.00000000	      0.54200000	      0.19543907	      0.18386899	      0.16622419	      0.09795264	      0.12078530	      0.20799587	      0.17094704	      0.16764391	      0.17382440	      0.16855012
     14.00000000	      0.58300000	      0.19504345	      0.18386674	      0.16494669	      0.09885130	      0.12028524	      0.20942297	      0.17001265	      0.17046078	      0.17664755	      0.17151360
     15.00000000	      0.62500000	      0.19646962	      0.18372243	      0.16293662	      0.09980067	      0.11974209	      0.20876555	      0.17165941	      0.17098273	      0.17717006	      0.17201319
     16.00000000	      0.66700000	      0.19820742	      0.18370380	      0.16241895	      0.10102484	      0.11901032	      0.20796621	      0.17359749	      0.17188243	      0.17806814	      0.17297684
     17.00000000	      0.70800000	      0.19981702	      0.18385804	      0.16328254	      0.10236130	      0.11814741	      0.20738251	      0.17515413	      0.17350095	      0.17968078	      0.17470592
     18.00000000	      0.75000000	      0.20104955	      0.18370235	      0.16508454	      0.10367439	      0.11717938	      0.20727619	      0.17580230	      0.17612552	      0.18228585	      0.17707194
     19.00000000	      0.79200000	      0.20221672	      0.18300093	      0.16716984	      0.10469719	      0.11626073	      0.20702466	      0.17624981	      0.17861984	      0.18475183	      0.17931168
     20.00000000	      0.83300000	      0.20348299	      0.18215711	      0.16880180	      0.10540974	      0.11545647	      0.20629076	      0.17706890	      0.18036999	      0.18647713	      0.18089131
     21.00000000	      0.87500000	      0.20502090	      0.18125901	      0.17039470	      0.10597610	      0.11465007	      0.20493961	      0.17849209	      0.18158923	      0.18767880	      0.18199634
     22.00000000	      0.91700000	      0.20627305	      0.18023847	      0.17297795	      0.10622535	      0.11422607	      0.20343208	      0.18026811	      0.18140241	      0.18749489	      0.18182680
     23.00000000	      0.95800000	      0.20796314	      0.17981924	      0.17435371	      0.10647859	      0.11373737	      0.20123038	      0.18287110	      0.18072997	      0.18683339	      0.18121789
     24.00000000	      1.00000000	      0.20999989	      0.17988537	      0.17497755	      0.10669350	      0.11326519	      0.19844093	      0.18619718	      0.17940199	      0.18552518	      0.18001707
     25.00000000	      1.04200000	      0.21215849	      0.17993222	      0.17603633	      0.10682656	      0.11293975	      0.19547250	      0.18984568	      0.17732657	      0.18347617	      0.17814938
     26.00000000	      1.08300000	      0.21473327	      0.18031919	      0.17649512	      0.10694735	      0.11261693	      0.19206628	      0.19395197	      0.17475926	      0.18092988	      0.17584904
     27.00000000	      1.12500000	      0.21767304	      0.18083305	      0.17687595	      0.10701768	      0.11241436	      0.18848160	      0.19828136	      0.17144837	      0.17763516	      0.17251284
     28.00000000	      1.16700000	      0.22065829	      0.18162021	      0.17654869	      0.10701560	      0.11242051	      0.18531514	      0.20213673	      0.16763643	      0.17381687	      0.16854225
     29.00000000	      1.20800000	      0.22372751	      0.18246357	      0.17570692	      0.10697763	      0.11253117	      0.18244977	      0.20545941	      0.16363932	      0.16978248	      0.16433648
     30.00000000	      1.25000000	      0.22649003	      0.18314216	      0.17460546	      0.10684329	      0.11289673	      0.18035535	      0.20776789	      0.15936719	      0.16546120	      0.15988959
     31.00000000	      1.29200000	      0.22881102	      0.18362090	      0.17304273	      0.10666254	      0.11333701	      0.17878359	      0.20916578	      0.15541403	      0.16147652	      0.15602828
     32.00000000	      1.33300000	      0.23098604	      0.18385117	      0.17120336	      0.10648499	      0.11372412	      0.17725057	      0.21015654	      0.15178266	      0.15780714	      0.15266084
     33.00000000	      1.37500000	      0.23014606	      0.18376691	      0.17246463	      0.10618653	      0.11429550	      0.17840998	      0.20881088	      0.15090235	      0.15691913	      0.15191015
     34.00000000	      1.41700000	      0.22696620	      0.18308707	      0.17582597	      0.10621312	      0.11424809	      0.18114897	      0.20674222	      0.15459223	      0.16064469	      0.15523874
     35.00000000	      1.45800000	      0.22400529	      0.18236169	      0.17768767	      0.10616648	      0.11433084	      0.18380369	      0.20435345	      0.15762068	      0.16370717	      0.15820938
     36.00000000	      1.50000000	      0.22196528	      0.18172069	      0.17889265	      0.10615800	      0.11434570	      0.18564069	      0.20257507	      0.15986051	      0.16596041	      0.16040046
     37.00000000	      1.54200000	      0.22007721	      0.18111243	      0.17992572	      0.10610367	      0.11443937	      0.18742111	      0.20073140	      0.16170222	      0.16781988	      0.16231273
     38.00000000	      1.58300000	      0.21888419	      0.18090030	      0.18010654	      0.10605642	      0.11451887	      0.18857460	      0.19949121	      0.16281593	      0.16894882	      0.16347868
     39.00000000	      1.62500000	      0.21812072	      0.18075692	      0.18025881	      0.10600580	      0.11460211	      0.18933247	      0.19865751	      0.16342850	      0.16956926	      0.16411476
     40.00000000	      1.66700000	      0.21724556	      0.18057471	      0.18059632	      0.10587171	      0.11481353	      0.19023718	      0.19763714	      0.16374275	      0.16988690	      0.16444492
     41.00000000	      1.70800000	      0.21644537	      0.18052016	      0.18057091	      0.10577663	      0.11495602	      0.19104476	      0.19671603	      0.16420225	      0.17035261	      0.16492819
     42.00000000	      1.75000000	      0.21568894	      0.18062887	      0.18006328	      0.10573597	      0.11501522	      0.19179692	      0.19585599	      0.16490175	      0.17105937	      0.16566262
     43.00000000	      1.79200000	      0.21440695	      0.18060655	      0.17985789	      0.10556488	      0.11525367	      0.19309308	      0.19433088	      0.16561688	      0.17178093	      0.16641311
     44.00000000	      1.83300000	      0.21381670	      0.18136903	      0.17757273	      0.10563249	      0.11516141	      0.19369398	      0.19363438	      0.16666916	      0.17284185	      0.16752743
     45.00000000	      1.87500000	      0.21288147	      0.18210961	      0.17527830	      0.10558237	      0.11523004	      0.19466359	      0.19247087	      0.16758857	      0.17376888	      0.16849201
     46.00000000	      1.91700000	      0.21269940	      0.18295930	      0.17253420	      0.10558518	      0.11522624	      0.19485618	      0.19223773	      0.16783276	      0.17401411	      0.16875202
     47.00000000	      1.95800000	      0.21197627	      0.18319410	      0.17154271	      0.10543712	      0.11542154	      0.19559512	      0.19133181	      0.16803387	      0.17421636	      0.16896402
     48.00000000	      2.00000000	      0.21096922	      0.18337030	      0.17069382	      0.10519242	      0.11572182	      0.19659816	      0.19007196	      0.16820430	      0.17438733	      0.16913928
     49.00000000	      2.04200000	      0.20916837	      0.18338768	      0.17055400	      0.10466166	      0.11629647	      0.19830731	      0.18782604	      0.16834441	      0.17452801	      0.16928677
     50.00000000	      2.08300000	      0.20736008	      0.18336085	      0.17066121	      0.10402399	      0.11688759	      0.19991600	      0.18557807	      0.16839504	      0.17457884	      0.16934007
     51.00000000	      2.12500000	      0.20552482	      0.18337928	      0.17077380	      0.10311225	      0.11761427	      0.20133005	      0.18334790	      0.16789798	      0.17408012	      0.16882098
     52.00000000	      2.16700000	      0.20386454	      0.18348002	      0.17045643	      0.10218515	      0.11826647	      0.20248491	      0.18133512	      0.16741592	      0.17359528	      0.16831033
     53.00000000	      2.20800000	      0.20274481	      0.18365278	      0.16975392	      0.10130641	      0.11883528	      0.20304297	      0.18000758	      0.16653656	      0.17270842	      0.16738708
     54.00000000	      2.25000000	      0.20188681	      0.18378554	      0.16900814	      0.10046198	      0.11935205	      0.20331185	      0.17898188	      0.16550989	      0.17167311	      0.16630067
     55.00000000	      2.29200000	      0.20107488	      0.18386348	      0.16809890	      0.09958581	      0.11986658	      0.20347448	      0.17797742	      0.16441423	      0.17056700	      0.16515077
     56.00000000	      2.33300000	      0.20046042	      0.18386157	      0.16717186	      0.09910077	      0.12014416	      0.20371655	      0.17721287	      0.16403191	      0.17017964	      0.16475131
     57.00000000	      2.37500000	      0.20005363	      0.18381626	      0.16605759	      0.09930483	      0.12002794	      0.20430199	      0.17673776	      0.16501390	      0.17117268	      0.16577941
     58.00000000	      2.41700000	      0.19927856	      0.18380613	      0.16503937	      0.09993717	      0.11966247	      0.20567252	      0.17567704	      0.16753821	      0.17371825	      0.16843901
     59.00000000	      2.45800000	      0.19971666	      0.18375466	      0.16358834	      0.10110831	      0.11895874	      0.20624591	      0.17588159	      0.17000311	      0.17619011	      0.17103230
     60.00000000	      2.50000000	      0.20061491	      0.18377324	      0.16280508	      0.10230200	      0.11818771	      0.20632262	      0.17652954	      0.17215609	      0.17834090	      0.17326958
     61.00000000	      2.54200000	      0.20168036	      0.18386910	      0.16367861	      0.10347696	      0.11733641	      0.20620360	      0.17720781	      0.17442922	      0.18060255	      0.17555468
     62.00000000	      2.58300000	      0.20255089	      0.18349821	      0.16568296	      0.10455802	      0.11639883	      0.20634495	      0.17720821	      0.17741065	      0.18355933	      0.17822491
     63.00000000	      2.62500000	      0.20319529	      0.18250487	      0.16782041	      0.10532386	      0.11556379	      0.20658042	      0.17670269	      0.18034544	      0.18645484	      0.18086910
     64.00000000	      2.66700000	      0.20401937	      0.18149114	      0.16923167	      0.10586461	      0.11482437	      0.20632315	      0.17664025	      0.18254336	      0.18861670	      0.18286360
     65.00000000	      2.70800000	      0.20487057	      0.18036171	      0.17121670	      0.10620565	      0.11426148	      0.20566855	      0.17708320	      0.18379345	      0.18984655	      0.18400442
