UNKNOWN
version=1
nRows=66
nColumns=5
inDegrees=no
endheader
time	time	pelvis_to_femur_l	femur_l_to_tibia_l_rz	tibia_l_to_metatarsal_l_rz
      0.00000000	      0.00000000	    -19.43161006	     25.68942174	     24.32186212
      1.00000000	      0.04200000	    -17.46754036	     25.44861657	     27.83077182
      2.00000000	      0.08300000	    -16.10641118	     24.87850658	     33.51413621
      3.00000000	      0.12500000	    -14.22015742	     24.08004623	     36.59770654
      4.00000000	      0.16700000	    -12.08123368	     23.32134671	     39.30231468
      5.00000000	      0.20800000	     -9.29955849	     22.16567625	     40.94378128
      6.00000000	      0.25000000	     -5.44306841	     21.08457501	     41.93272702
      7.00000000	      0.29200000	     -1.46262247	     19.61619053	     42.64225194
      8.00000000	      0.33300000	      2.71784878	     17.92076329	     44.06356287
      9.00000000	      0.37500000	      6.75629533	     15.88056466	     45.92218862
     10.00000000	      0.41700000	     10.53468430	     13.99612967	     48.79841006
     11.00000000	      0.45800000	     13.40260181	     12.07276794	     52.45250395
     12.00000000	      0.50000000	     14.04167858	     11.79550542	     55.96449630
     13.00000000	      0.54200000	     13.42706846	     14.01505870	     56.93222489
     14.00000000	      0.58300000	     10.43248711	     19.09812970	     57.28335546
     15.00000000	      0.62500000	      7.21713089	     20.04210268	     62.26533201
     16.00000000	      0.66700000	      2.92816603	     21.66844519	     62.62657220
     17.00000000	      0.70800000	     -2.09641249	     24.59429971	     58.06142170
     18.00000000	      0.75000000	     -7.73623329	     29.35009780	     50.04881497
     19.00000000	      0.79200000	    -13.14079186	     33.87389800	     41.99929400
     20.00000000	      0.83300000	    -17.95712902	     37.05407526	     36.17654478
     21.00000000	      0.87500000	    -22.91065595	     39.27425551	     31.22054619
     22.00000000	      0.91700000	    -25.58285027	     38.93386109	     26.04819672
     23.00000000	      0.95800000	    -28.73654614	     37.71058354	     24.02908717
     24.00000000	      1.00000000	    -31.87477391	     35.29500300	     24.34401892
     25.00000000	      1.04200000	    -34.10029148	     31.52860421	     24.56796306
     26.00000000	      1.08300000	    -36.36735434	     26.87186626	     26.44335425
     27.00000000	      1.12500000	    -37.82439974	     20.88396103	     29.01254082
     28.00000000	      1.16700000	    -37.77974447	     14.00155960	     33.15705381
     29.00000000	      1.20800000	    -36.98075524	      6.79010195	     38.07908223
     30.00000000	      1.25000000	    -34.39880537	     -0.92402068	     43.21961070
     31.00000000	      1.29200000	    -31.39090110	     -8.08126917	     48.67093804
     32.00000000	      1.33300000	    -28.82325441	    -14.73414156	     54.21892249
     33.00000000	      1.37500000	    -25.14149709	    -16.36219482	     51.40571946
     34.00000000	      1.41700000	    -25.44272062	     -9.57885865	     42.73077895
     35.00000000	      1.45800000	    -24.91745888	     -4.07895147	     37.42579375
     36.00000000	      1.50000000	    -24.82339551	     -0.02849958	     33.70739592
     37.00000000	      1.54200000	    -24.23181008	      3.29632029	     30.45200564
     38.00000000	      1.58300000	    -23.73180183	      5.30596179	     29.35610979
     39.00000000	      1.62500000	    -23.21023488	      6.41019616	     28.62573269
     40.00000000	      1.66700000	    -21.89403587	      6.97648112	     27.70891141
     41.00000000	      1.70800000	    -21.01342289	      7.80612953	     27.43679296
     42.00000000	      1.75000000	    -20.64904568	      9.06636287	     27.98013420
     43.00000000	      1.79200000	    -19.18922019	     10.35527963	     27.86821072
     44.00000000	      1.83300000	    -19.75259455	     12.25372437	     31.80375837
     45.00000000	      1.87500000	    -19.33335248	     13.91546288	     35.89718996
     46.00000000	      1.91700000	    -19.35654888	     14.35577775	     41.65874022
     47.00000000	      1.95800000	    -18.16875459	     14.71907816	     43.69763502
     48.00000000	      2.00000000	    -16.35661199	     15.02653407	     45.47328466
     49.00000000	      2.04200000	    -12.92889996	     15.27929252	     45.66422626
     50.00000000	      2.08300000	     -9.44486505	     15.37064734	     45.37085510
     51.00000000	      2.12500000	     -5.19883723	     14.47395055	     45.57158278
     52.00000000	      2.16700000	     -1.40393169	     13.60413375	     46.74212183
     53.00000000	      2.20800000	      1.90715170	     12.01468564	     49.17865371
     54.00000000	      2.25000000	      4.92624641	     10.16247587	     51.87294775
     55.00000000	      2.29200000	      7.95121906	      8.18823978	     55.07162759
     56.00000000	      2.33300000	      9.59398388	      7.49793105	     57.79711422
     57.00000000	      2.37500000	      8.90508598	      9.26847310	     59.92836237
     58.00000000	      2.41700000	      6.74840010	     13.82464922	     60.24856218
     59.00000000	      2.45800000	      2.62715411	     18.27175689	     61.58140455
     60.00000000	      2.50000000	     -1.86200990	     22.16308480	     61.14321204
     61.00000000	      2.54200000	     -6.81897491	     26.27441116	     55.79416817
     62.00000000	      2.58300000	    -12.32295844	     31.68114400	     46.96882447
     63.00000000	      2.62500000	    -17.30830490	     37.00941704	     38.35052903
     64.00000000	      2.66700000	    -21.82687119	     41.01437965	     32.45781347
     65.00000000	      2.70800000	    -25.35759134	     43.30048670	     26.65237217
