UNKNOWN
version=1
nRows=66
nColumns=12
inDegrees=no
endheader
time	time	biceps_femoris_r	biceps_femoris_r	cranial_tibial_r	gastrocnemius_r	gluteus_medius_r	iliopsoas_r	rectus_femoris_r	vastus_intermedius_r	vastus_lateralis_r	vastus_medius_r
      0.00000000	      0.00000000	      0.20281000	      0.20281000	      0.17956882	      0.16887550	      0.10809276	      0.11494050	      0.20844048	      0.18718922	      0.19416179	      0.18833923
      1.00000000	      0.04200000	      0.20443311	      0.20443311	      0.17912704	      0.17055149	      0.10825258	      0.11459945	      0.20638407	      0.18628046	      0.19326050	      0.18743762
      2.00000000	      0.08300000	      0.20649913	      0.20649913	      0.17892865	      0.17237764	      0.10835143	      0.11437415	      0.20344633	      0.18414975	      0.19114466	      0.18532251
      3.00000000	      0.12500000	      0.20905219	      0.20905219	      0.17909275	      0.17346635	      0.10846710	      0.11409393	      0.19998374	      0.18169006	      0.18871370	      0.18287627
      4.00000000	      0.16700000	      0.21195795	      0.21195795	      0.17955972	      0.17391017	      0.10857338	      0.11381729	      0.19619753	      0.17888408	      0.18595753	      0.18010742
      5.00000000	      0.20800000	      0.21514583	      0.21514583	      0.18025749	      0.17384615	      0.10864800	      0.11360943	      0.19224008	      0.17562657	      0.18276381	      0.17680471
      6.00000000	      0.25000000	      0.21783862	      0.21783862	      0.18095806	      0.17338104	      0.10867908	      0.11351884	      0.18909514	      0.17269800	      0.17989198	      0.17400105
      7.00000000	      0.29200000	      0.22034024	      0.22034024	      0.18158293	      0.17283408	      0.10869282	      0.11347795	      0.18634078	      0.16989360	      0.17717634	      0.17134632
      8.00000000	      0.33300000	      0.22257441	      0.22257441	      0.18225543	      0.17193319	      0.10864132	      0.11362857	      0.18406159	      0.16675428	      0.17413321	      0.16839318
      9.00000000	      0.37500000	      0.22487846	      0.22487846	      0.18300446	      0.16972367	      0.10853156	      0.11392863	      0.18186560	      0.16303418	      0.17050778	      0.16492397
     10.00000000	      0.41700000	      0.20609051	      0.20609051	      0.18322871	      0.16825110	      0.10828702	      0.11452232	      0.18057565	      0.15913878	      0.16665467	      0.16138007
     11.00000000	      0.45800000	      0.20442763	      0.20442763	      0.18305271	      0.17042123	      0.10804116	      0.11504519	      0.18226308	      0.15909634	      0.16661240	      0.16134218
     12.00000000	      0.50000000	      0.22087339	      0.22087339	      0.18213174	      0.17361433	      0.10798723	      0.11515205	      0.18592268	      0.16293724	      0.17041320	      0.16483334
     13.00000000	      0.54200000	      0.21856411	      0.21856411	      0.18152748	      0.17472710	      0.10794464	      0.11523465	      0.18821318	      0.16523673	      0.17265750	      0.16697194
     14.00000000	      0.58300000	      0.21627216	      0.21627216	      0.18101398	      0.17520201	      0.10795424	      0.11521616	      0.19057966	      0.16793819	      0.17528335	      0.16949697
     15.00000000	      0.62500000	      0.21475505	      0.21475505	      0.18081423	      0.17501081	      0.10796660	      0.11519225	      0.19220944	      0.16981079	      0.17709707	      0.17126793
     16.00000000	      0.66700000	      0.21363233	      0.21363233	      0.18056541	      0.17527922	      0.10791701	      0.11528744	      0.19339617	      0.17077602	      0.17802737	      0.17217866
     17.00000000	      0.70800000	      0.21272956	      0.21272956	      0.18038134	      0.17550398	      0.10785340	      0.11540660	      0.19433658	      0.17139148	      0.17862178	      0.17275781
     18.00000000	      0.75000000	      0.21180228	      0.21180228	      0.18024584	      0.17572865	      0.10773940	      0.11561249	      0.19524924	      0.17169115	      0.17891416	      0.17304404
     19.00000000	      0.79200000	      0.21112529	      0.21112529	      0.18038016	      0.17518951	      0.10768250	      0.11571177	      0.19594805	      0.17211867	      0.17932685	      0.17344763
     20.00000000	      0.83300000	      0.21041490	      0.21041490	      0.18055387	      0.17462669	      0.10758968	      0.11586903	      0.19663901	      0.17235098	      0.17955278	      0.17366518
     21.00000000	      0.87500000	      0.20986952	      0.20986952	      0.18075536	      0.17417113	      0.10746022	      0.11607925	      0.19708657	      0.17216397	      0.17937089	      0.17349125
     22.00000000	      0.91700000	      0.20925605	      0.20925605	      0.18110609	      0.17343220	      0.10726063	      0.11638433	      0.19750981	      0.17166680	      0.17889118	      0.17302080
     23.00000000	      0.95800000	      0.20883512	      0.20883512	      0.18160983	      0.17217838	      0.10710804	      0.11660347	      0.19777678	      0.17128334	      0.17851734	      0.17265392
     24.00000000	      1.00000000	      0.20828334	      0.20828334	      0.18201161	      0.17106070	      0.10695146	      0.11681685	      0.19818580	      0.17108124	      0.17832120	      0.17246843
     25.00000000	      1.04200000	      0.20744533	      0.20744533	      0.18226011	      0.17031729	      0.10671889	      0.11711450	      0.19881328	      0.17087802	      0.17812508	      0.17227491
     26.00000000	      1.08300000	      0.20646366	      0.20646366	      0.18238029	      0.16990904	      0.10646290	      0.11741859	      0.19957195	      0.17081720	      0.17806716	      0.17221785
     27.00000000	      1.12500000	      0.20545552	      0.20545552	      0.18248910	      0.16945207	      0.10621670	      0.11769092	      0.20037728	      0.17091738	      0.17816310	      0.17231238
     28.00000000	      1.16700000	      0.20408270	      0.20408270	      0.18259387	      0.16905437	      0.10580661	      0.11810778	      0.20138052	      0.17084955	      0.17809841	      0.17224863
     29.00000000	      1.20800000	      0.20268622	      0.20268622	      0.18267244	      0.16861902	      0.10542826	      0.11845902	      0.20246596	      0.17108036	      0.17832035	      0.17246759
     30.00000000	      1.25000000	      0.20126545	      0.20126545	      0.18282986	      0.16798882	      0.10486593	      0.11893524	      0.20334887	      0.17079168	      0.17804250	      0.17219356
     31.00000000	      1.29200000	      0.20005815	      0.20005815	      0.18298155	      0.16732329	      0.10427655	      0.11938986	      0.20397086	      0.17031615	      0.17758331	      0.17174669
     32.00000000	      1.33300000	      0.19962198	      0.19962198	      0.18311563	      0.16649647	      0.10397474	      0.11960904	      0.20408891	      0.16990150	      0.17718398	      0.17135382
     33.00000000	      1.37500000	      0.19885025	      0.19885025	      0.18322787	      0.16537137	      0.10327333	      0.12009101	      0.20410821	      0.16875448	      0.17607575	      0.17026706
     34.00000000	      1.41700000	      0.19868790	      0.19868790	      0.18321322	      0.16429379	      0.10296973	      0.12028993	      0.20393406	      0.16809216	      0.17543355	      0.16964314
     35.00000000	      1.45800000	      0.19799233	      0.19799233	      0.18309800	      0.16341176	      0.10235045	      0.12068138	      0.20398542	      0.16723741	      0.17460252	      0.16884168
     36.00000000	      1.50000000	      0.19769503	      0.19769503	      0.18300286	      0.16262336	      0.10245830	      0.12061444	      0.20443100	      0.16788274	      0.17522960	      0.16944469
     37.00000000	      1.54200000	      0.19783683	      0.19783683	      0.18291467	      0.16165568	      0.10307581	      0.12022101	      0.20500089	      0.16941957	      0.17672171	      0.17090588
     38.00000000	      1.58300000	      0.19872805	      0.19872805	      0.18285272	      0.16093056	      0.10386830	      0.11968449	      0.20497144	      0.17067531	      0.17793000	      0.17208267
     39.00000000	      1.62500000	      0.19971115	      0.19971115	      0.18309468	      0.16127789	      0.10485766	      0.11894190	      0.20515117	      0.17270835	      0.17990207	      0.17401107
     40.00000000	      1.66700000	      0.20017350	      0.20017350	      0.18322995	      0.16232985	      0.10577079	      0.11814228	      0.20602191	      0.17565549	      0.18279230	      0.17683404
     41.00000000	      1.70800000	      0.20089935	      0.20089935	      0.18299587	      0.16326089	      0.10660382	      0.11725404	      0.20671745	      0.17872499	      0.18580154	      0.17994536
     42.00000000	      1.75000000	      0.20194666	      0.20194666	      0.18254273	      0.16397214	      0.10727496	      0.11636315	      0.20693198	      0.18143035	      0.18845895	      0.18262113
     43.00000000	      1.79200000	      0.20294645	      0.20294645	      0.18191359	      0.16533247	      0.10764853	      0.11576997	      0.20656611	      0.18280282	      0.18981419	      0.18398130
     44.00000000	      1.83300000	      0.20445301	      0.20445301	      0.18102198	      0.16758075	      0.10795892	      0.11520712	      0.20528133	      0.18325194	      0.19025650	      0.18442689
     45.00000000	      1.87500000	      0.20572834	      0.20572834	      0.18028720	      0.16978723	      0.10811468	      0.11489526	      0.20385320	      0.18283055	      0.18984160	      0.18400911
     46.00000000	      1.91700000	      0.20773872	      0.20773872	      0.17990191	      0.17173419	      0.10824637	      0.11461322	      0.20129368	      0.18121115	      0.18824317	      0.18240159
     47.00000000	      1.95800000	      0.20975334	      0.20975334	      0.17990591	      0.17281667	      0.10833403	      0.11441470	      0.19870630	      0.17928515	      0.18635082	      0.18051651
     48.00000000	      2.00000000	      0.21202257	      0.21202257	      0.18018500	      0.17331225	      0.10840986	      0.11423503	      0.19587360	      0.17703583	      0.18414408	      0.17823085
     49.00000000	      2.04200000	      0.21430141	      0.21430141	      0.18073622	      0.17317126	      0.10843725	      0.11416814	      0.19311296	      0.17442807	      0.18158656	      0.17566654
     50.00000000	      2.08300000	      0.21691987	      0.21691987	      0.18147367	      0.17246830	      0.10846411	      0.11410141	      0.19012572	      0.17151442	      0.17874033	      0.17287536
     51.00000000	      2.12500000	      0.21932113	      0.21932113	      0.18225722	      0.17118695	      0.10846990	      0.11408689	      0.18753023	      0.16874061	      0.17606232	      0.17025395
     52.00000000	      2.16700000	      0.22140938	      0.22140938	      0.18285213	      0.16966824	      0.10843718	      0.11416830	      0.18538130	      0.16604040	      0.17343868	      0.16772011
     53.00000000	      2.20800000	      0.22288849	      0.22288849	      0.18313342	      0.16850656	      0.10836058	      0.11435268	      0.18392773	      0.16367996	      0.17113646	      0.16552043
     54.00000000	      2.25000000	      0.22382435	      0.22382435	      0.18323413	      0.16750124	      0.10817135	      0.11477613	      0.18305201	      0.16103677	      0.16854442	      0.16309783
     55.00000000	      2.29200000	      0.20319090	      0.20319090	      0.18323453	      0.16768326	      0.10782947	      0.11545063	      0.18339052	      0.15891863	      0.16643525	      0.16118363
     56.00000000	      2.33300000	      0.22059063	      0.22059063	      0.18306609	      0.17001561	      0.10755894	      0.11591987	      0.18603080	      0.16034293	      0.16785754	      0.16246101
     57.00000000	      2.37500000	      0.21782129	      0.21782129	      0.18255051	      0.17192196	      0.10754874	      0.11593662	      0.18874231	      0.16340567	      0.17087000	      0.16526690
     58.00000000	      2.41700000	      0.21559977	      0.21559977	      0.18211790	      0.17271600	      0.10753785	      0.11595443	      0.19097607	      0.16586674	      0.17326823	      0.16755538
     59.00000000	      2.45800000	      0.21378052	      0.21378052	      0.18173672	      0.17297422	      0.10760631	      0.11584127	      0.19293477	      0.16841125	      0.17574463	      0.16995070
     60.00000000	      2.50000000	      0.21258439	      0.21258439	      0.18155068	      0.17309599	      0.10755243	      0.11593057	      0.19416738	      0.16947110	      0.17677157	      0.17095468
     61.00000000	      2.54200000	      0.21184977	      0.21184977	      0.18144732	      0.17316199	      0.10750434	      0.11600875	      0.19491691	      0.17004015	      0.17731708	      0.17148445
     62.00000000	      2.58300000	      0.21119706	      0.21119706	      0.18134811	      0.17331785	      0.10742886	      0.11612866	      0.19554790	      0.17034325	      0.17760949	      0.17177242
     63.00000000	      2.62500000	      0.21037106	      0.21037106	      0.18132718	      0.17325191	      0.10731627	      0.11630148	      0.19632603	      0.17064340	      0.17789936	      0.17205250
     64.00000000	      2.66700000	      0.20927325	      0.20927325	      0.18132155	      0.17302014	      0.10719103	      0.11648571	      0.19739431	      0.17123006	      0.17846587	      0.17260309
     65.00000000	      2.70800000	      0.20818983	      0.20818983	      0.18140712	      0.17252650	      0.10706237	      0.11666685	      0.19844852	      0.17181577	      0.17903443	      0.17316284
